Date,Open,High,Low,Close,Adj Close,Volume
2019-07-10,2574.189941,2600.879883,2574.120117,2588.350098,2588.350098,0
2019-07-11,2588.409912,2596.030029,2584.010010,2592.550049,2592.550049,0
2019-07-12,2592.540039,2610.100098,2591.830078,2601.639893,2601.639893,0
2019-07-15,2602.899902,2604.620117,2588.500000,2593.030029,2593.030029,0
2019-07-16,2593.040039,2600.060059,2580.590088,2580.590088,2580.590088,0
2019-07-17,2579.870117,2581.080078,2556.100098,2556.620117,2556.620117,0
2019-07-18,2556.620117,2568.649902,2542.810059,2568.649902,2568.649902,0
2019-07-19,2566.169922,2570.800049,2547.330078,2566.629883,2566.629883,0
2019-07-22,2570.770020,2588.260010,2569.169922,2578.689941,2578.689941,0
2019-07-23,2580.250000,2580.250000,2550.149902,2562.959961,2562.959961,0
2019-07-24,2559.939941,2594.540039,2559.939941,2592.459961,2592.459961,0
2019-07-25,2592.459961,2599.899902,2541.340088,2547.290039,2547.290039,0
2019-07-26,2559.129883,2565.389893,2548.070068,2548.310059,2548.310059,0
2019-07-29,2540.270020,2548.590088,2528.719971,2543.110107,2543.110107,0
2019-07-30,2543.110107,2560.550049,2531.139893,2556.010010,2556.010010,0
2019-07-31,2562.169922,2571.489990,2531.280029,2539.639893,2539.639893,0
2019-08-01,2521.590088,2542.510010,2503.560059,2507.530029,2507.530029,0
2019-08-02,2515.969971,2524.129883,2451.840088,2463.949951,2463.949951,0
2019-08-05,2435.800049,2435.860107,2391.010010,2398.989990,2398.989990,0
2019-08-06,2405.780029,2422.899902,2396.300049,2420.040039,2420.040039,0
2019-08-07,2406.000000,2422.169922,2392.100098,2416.739990,2416.739990,0
2019-08-08,2429.370117,2458.070068,2427.560059,2453.199951,2453.199951,0
2019-08-09,2453.139893,2456.699951,2436.590088,2442.429932,2442.429932,0
2019-08-12,2437.719971,2442.239990,2422.000000,2426.489990,2426.489990,0
2019-08-13,2424.469971,2443.389893,2416.879883,2426.199951,2426.199951,0
2019-08-14,2408.479980,2409.270020,2381.239990,2382.659912,2382.659912,0
2019-08-15,2384.010010,2386.050049,2369.030029,2375.469971,2375.469971,0
